id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Evening Commute,Velvet Groove,electronic,sad,0.55,105,0.32,0.68,0.15
12,Ocean Waves,Dream Scapes,ambient,chill,0.22,65,0.58,0.35,0.95
13,Summer Party,Festival Beats,pop,energetic,0.88,128,0.89,0.92,0.08
14,Late Night Blues,Blue Note Quartet,jazz,sad,0.33,75,0.28,0.45,0.88
15,Highway Cruise,Thunder Road,rock,energetic,0.85,140,0.72,0.78,0.12
16,City Rain,Metro Sounds,synthwave,chill,0.48,92,0.41,0.55,0.25
17,Candlelight,Romance Hour,ambient,romantic,0.30,70,0.82,0.38,0.91
18,Dance Floor,Club Masters,electronic,intense,0.95,130,0.85,0.96,0.05
19,Acoustic Dreams,Fingerstyle Six,indie pop,dreamy,0.35,85,0.75,0.52,0.88
20,Sunrise Yoga,Morning Calm,ambient,chill,0.25,80,0.78,0.42,0.90
